,Year,quarter,Bene_Geo_Desc,Bene_Mdcd_Mdcr_Enrl_Stus,Bene_Race_Desc,Bene_Sex_Desc,Bene_Mdcr_Entlmt_Stus,Bene_Age_Desc,Bene_RUCA_Desc,Total_Bene_TH_Elig,Total_PartB_Enrl,Total_Bene_Telehealth,Pct_Telehealth
80,2020,1,Arkansas,All,Non-Hispanic White,All,All,All,All,268753.0,353645.0,12489.0,0.0465
82,2020,1,Arkansas,Medicare & Medicaid,All,All,All,All,All,60762.0,77932.0,4743.0,0.0781
83,2020,1,Arkansas,Medicare Only,All,All,All,All,All,247428.0,331271.0,9806.0,0.0396
84,2020,1,California,All,All,All,Aged,All,All,1843472.0,2536430.0,159711.0,0.0866
85,2020,1,California,All,All,All,All,0-64,All,252808.0,359058.0,31716.0,0.1255
86,2020,1,California,All,All,All,All,65-74,All,908469.0,1345191.0,81630.0,0.0899
87,2020,1,California,All,All,All,All,75-84,All,642601.0,823838.0,55874.0,0.0869
88,2020,1,California,All,All,All,All,85 and over,All,315177.0,390583.0,24657.0,0.0782
89,2020,1,California,All,All,All,All,All,All,2119055.0,2918669.0,193877.0,0.0915
90,2020,1,California,All,All,All,All,All,Rural,230819.0,325875.0,17064.0,0.0739
92,2020,1,California,All,All,All,All,All,Urban,1887093.0,2590252.0,176730.0,0.0937
93,2020,1,California,All,All,All,Disabled,All,All,234524.0,339762.0,29837.0,0.1272
94,2020,1,California,All,All,All,ESRD,All,All,41059.0,42477.0,4329.0,0.1054
95,2020,1,California,All,All,Female,All,All,All,1201331.0,1591110.0,115753.0,0.0964
96,2020,1,California,All,All,Male,All,All,All,917724.0,1327559.0,78124.0,0.0851
97,2020,1,California,All,American Indian/Alaska Native,All,All,All,All,9555.0,12779.0,901.0,0.0943
98,2020,1,California,All,Asian/Pacific Islander,All,All,All,All,252842.0,359085.0,20848.0,0.0825
99,2020,1,California,All,Black/African American,All,All,All,All,106004.0,155251.0,11855.0,0.1118
100,2020,1,California,All,Hispanic,All,All,All,All,336071.0,519461.0,28433.0,0.0846
101,2020,1,California,All,Non-Hispanic White,All,All,All,All,1335517.0,1759298.0,124386.0,0.0931
103,2020,1,California,Medicare & Medicaid,All,All,All,All,All,727038.0,962555.0,75790.0,0.1042
104,2020,1,California,Medicare Only,All,All,All,All,All,1392017.0,1956114.0,118087.0,0.0848
105,2020,1,Colorado,All,All,All,Aged,All,All,270655.0,389881.0,20020.0,0.074
106,2020,1,Colorado,All,All,All,All,0-64,All,36214.0,51231.0,5505.0,0.152
107,2020,1,Colorado,All,All,All,All,65-74,All,149812.0,230352.0,11591.0,0.0774
108,2020,1,Colorado,All,All,All,All,75-84,All,85698.0,114674.0,6049.0,0.0706
109,2020,1,Colorado,All,All,All,All,85 and over,All,36952.0,46706.0,2616.0,0.0708
110,2020,1,Colorado,All,All,All,All,All,All,308676.0,442963.0,25761.0,0.0835
111,2020,1,Colorado,All,All,All,All,All,Rural,73477.0,111870.0,4869.0,0.0663
113,2020,1,Colorado,All,All,All,All,All,Urban,235027.0,330749.0,20881.0,0.0888
114,2020,1,Colorado,All,All,All,Disabled,All,All,34416.0,49308.0,5283.0,0.1535
115,2020,1,Colorado,All,All,All,ESRD,All,All,3605.0,3774.0,458.0,0.127
116,2020,1,Colorado,All,All,Female,All,All,All,171149.0,234549.0,15295.0,0.0894
117,2020,1,Colorado,All,All,Male,All,All,All,137527.0,208414.0,10466.0,0.0761
118,2020,1,Colorado,All,American Indian/Alaska Native,All,All,All,All,1011.0,1421.0,83.0,0.0821
119,2020,1,Colorado,All,Asian/Pacific Islander,All,All,All,All,4967.0,8017.0,343.0,0.0691
120,2020,1,Colorado,All,Black/African American,All,All,All,All,8231.0,12419.0,852.0,0.1035
121,2020,1,Colorado,All,Hispanic,All,All,All,All,26005.0,41113.0,2194.0,0.0844
122,2020,1,Colorado,All,Non-Hispanic White,All,All,All,All,258286.0,364831.0,21445.0,0.083
124,2020,1,Colorado,Medicare & Medicaid,All,All,All,All,All,54534.0,73123.0,6639.0,0.1217
125,2020,1,Colorado,Medicare Only,All,All,All,All,All,254142.0,369840.0,19122.0,0.0752
126,2020,1,Connecticut,All,All,All,Aged,All,All,210970.0,269850.0,15866.0,0.0752
127,2020,1,Connecticut,All,All,All,All,0-64,All,35732.0,44775.0,5510.0,0.1542
128,2020,1,Connecticut,All,All,All,All,65-74,All,89393.0,122420.0,7580.0,0.0848
129,2020,1,Connecticut,All,All,All,All,75-84,All,75955.0,93138.0,5717.0,0.0753
130,2020,1,Connecticut,All,All,All,All,85 and over,All,47595.0,56263.0,2759.0,0.058
131,2020,1,Connecticut,All,All,All,All,All,All,248675.0,316596.0,21566.0,0.0867
132,2020,1,Connecticut,All,All,All,All,All,Rural,10831.0,14023.0,861.0,0.0795
134,2020,1,Connecticut,All,All,All,All,All,Urban,237800.0,302460.0,20701.0,0.0871
135,2020,1,Connecticut,All,All,All,Disabled,All,All,34114.0,43114.0,5297.0,0.1553
136,2020,1,Connecticut,All,All,All,ESRD,All,All,3591.0,3631.0,403.0,0.1122
137,2020,1,Connecticut,All,All,Female,All,All,All,142812.0,177034.0,12994.0,0.091
138,2020,1,Connecticut,All,All,Male,All,All,All,105863.0,139562.0,8572.0,0.081
139,2020,1,Connecticut,All,American Indian/Alaska Native,All,All,All,All,244.0,299.0,30.0,0.123
140,2020,1,Connecticut,All,Asian/Pacific Islander,All,All,All,All,4217.0,6361.0,284.0,0.0673
141,2020,1,Connecticut,All,Black/African American,All,All,All,All,15038.0,19918.0,1473.0,0.098
142,2020,1,Connecticut,All,Hispanic,All,All,All,All,15276.0,20254.0,1593.0,0.1043
143,2020,1,Connecticut,All,Non-Hispanic White,All,All,All,All,204893.0,257412.0,17429.0,0.0851
145,2020,1,Connecticut,Medicare & Medicaid,All,All,All,All,All,78200.0,95124.0,8472.0,0.1083
146,2020,1,Connecticut,Medicare Only,All,All,All,All,All,170475.0,221472.0,13094.0,0.0768
147,2020,1,Delaware,All,All,All,Aged,All,All,112148.0,140364.0,8150.0,0.0727
148,2020,1,Delaware,All,All,All,All,0-64,All,13350.0,17061.0,1802.0,0.135
149,2020,1,Delaware,All,All,All,All,65-74,All,58787.0,76665.0,4627.0,0.0787
150,2020,1,Delaware,All,All,All,All,75-84,All,38995.0,46755.0,2742.0,0.0703
151,2020,1,Delaware,All,All,All,All,85 and over,All,15277.0,17872.0,879.0,0.0575
152,2020,1,Delaware,All,All,All,All,All,All,126409.0,158353.0,10050.0,0.0795
153,2020,1,Delaware,All,All,All,All,All,Rural,38747.0,47665.0,2978.0,0.0769
155,2020,1,Delaware,All,All,All,All,All,Urban,87624.0,110621.0,7070.0,0.0807
156,2020,1,Delaware,All,All,All,Disabled,All,All,12610.0,16296.0,1736.0,0.1377
157,2020,1,Delaware,All,All,All,ESRD,All,All,1651.0,1693.0,164.0,0.0993
158,2020,1,Delaware,All,All,Female,All,All,All,71885.0,88087.0,6010.0,0.0836
159,2020,1,Delaware,All,All,Male,All,All,All,54524.0,70267.0,4040.0,0.0741
161,2020,1,Delaware,All,Asian/Pacific Islander,All,All,All,All,1757.0,2601.0,129.0,0.0734
162,2020,1,Delaware,All,Black/African American,All,All,All,All,17277.0,22320.0,1486.0,0.086
163,2020,1,Delaware,All,Hispanic,All,All,All,All,2721.0,3719.0,274.0,0.1007
164,2020,1,Delaware,All,Non-Hispanic White,All,All,All,All,101077.0,124970.0,7905.0,0.0782
166,2020,1,Delaware,Medicare & Medicaid,All,All,All,All,All,19113.0,23499.0,1848.0,0.0967
167,2020,1,Delaware,Medicare Only,All,All,All,All,All,107296.0,134854.0,8202.0,0.0764
168,2020,1,District Of Columbia,All,All,All,Aged,All,All,34889.0,48091.0,2332.0,0.0668
169,2020,1,District Of Columbia,All,All,All,All,0-64,All,6718.0,9303.0,534.0,0.0795
170,2020,1,District Of Columbia,All,All,All,All,65-74,All,16866.0,24513.0,1172.0,0.0695
171,2020,1,District Of Columbia,All,All,All,All,75-84,All,12265.0,15948.0,795.0,0.0648
172,2020,1,District Of Columbia,All,All,All,All,85 and over,All,6510.0,8396.0,398.0,0.0611
173,2020,1,District Of Columbia,All,All,All,All,All,All,42359.0,58160.0,2899.0,0.0684
176,2020,1,District Of Columbia,All,All,All,All,All,Urban,42351.0,58132.0,2899.0,0.0685
177,2020,1,District Of Columbia,All,All,All,Disabled,All,All,6028.0,8580.0,494.0,0.082
178,2020,1,District Of Columbia,All,All,All,ESRD,All,All,1442.0,1489.0,73.0,0.0506
179,2020,1,District Of Columbia,All,All,Female,All,All,All,25212.0,33235.0,1806.0,0.0716
180,2020,1,District Of Columbia,All,All,Male,All,All,All,17147.0,24925.0,1093.0,0.0637
181,2020,1,District Of Columbia,All,American Indian/Alaska Native,All,All,All,All,11.0,19.0,0.0,0.0
182,2020,1,District Of Columbia,All,Asian/Pacific Islander,All,All,All,All,699.0,1135.0,43.0,0.0615
183,2020,1,District Of Columbia,All,Black/African American,All,All,All,All,25023.0,34281.0,1575.0,0.0629
184,2020,1,District Of Columbia,All,Hispanic,All,All,All,All,1675.0,2623.0,119.0,0.071
185,2020,1,District Of Columbia,All,Non-Hispanic White,All,All,All,All,13579.0,18104.0,1060.0,0.0781
187,2020,1,District Of Columbia,Medicare & Medicaid,All,All,All,All,All,17511.0,22736.0,1190.0,0.068
188,2020,1,District Of Columbia,Medicare Only,All,All,All,All,All,24848.0,35424.0,1709.0,0.0688
189,2020,1,Florida,All,All,All,Aged,All,All,1533410.0,1898146.0,79990.0,0.0522
190,2020,1,Florida,All,All,All,All,0-64,All,155879.0,209361.0,13312.0,0.0854
191,2020,1,Florida,All,All,All,All,65-74,All,717368.0,950420.0,38405.0,0.0535
192,2020,1,Florida,All,All,All,All,75-84,All,559239.0,656560.0,29418.0,0.0526
193,2020,1,Florida,All,All,All,All,85 and over,All,269722.0,304115.0,13258.0,0.0492
194,2020,1,Florida,All,All,All,All,All,All,1702208.0,2120457.0,94393.0,0.0555
195,2020,1,Florida,All,All,All,All,All,Rural,65165.0,85500.0,2990.0,0.0459
197,2020,1,Florida,All,All,All,All,All,Urban,1634015.0,2030225.0,91303.0,0.0559
198,2020,1,Florida,All,All,All,Disabled,All,All,143903.0,196939.0,12401.0,0.0862
199,2020,1,Florida,All,All,All,ESRD,All,All,24895.0,25371.0,2002.0,0.0804
200,2020,1,Florida,All,All,Female,All,All,All,958405.0,1158492.0,56387.0,0.0588
201,2020,1,Florida,All,All,Male,All,All,All,743803.0,961965.0,38006.0,0.0511
202,2020,1,Florida,All,American Indian/Alaska Native,All,All,All,All,1175.0,1518.0,70.0,0.0596
203,2020,1,Florida,All,Asian/Pacific Islander,All,All,All,All,19456.0,28438.0,880.0,0.0452
204,2020,1,Florida,All,Black/African American,All,All,All,All,111937.0,151094.0,6176.0,0.0552
205,2020,1,Florida,All,Hispanic,All,All,All,All,127614.0,167093.0,9628.0,0.0754
206,2020,1,Florida,All,Non-Hispanic White,All,All,All,All,1398275.0,1713843.0,75216.0,0.0538
208,2020,1,Florida,Medicare & Medicaid,All,All,All,All,All,258200.0,315517.0,18929.0,0.0733
209,2020,1,Florida,Medicare Only,All,All,All,All,All,1444008.0,1804940.0,75464.0,0.0523
210,2020,1,Georgia,All,All,All,Aged,All,All,577647.0,748380.0,24045.0,0.0416
211,2020,1,Georgia,All,All,All,All,0-64,All,94087.0,127904.0,6897.0,0.0733
212,2020,1,Georgia,All,All,All,All,65-74,All,300671.0,409780.0,13487.0,0.0449
213,2020,1,Georgia,All,All,All,All,75-84,All,201428.0,246071.0,8118.0,0.0403
214,2020,1,Georgia,All,All,All,All,85 and over,All,83184.0,100220.0,2899.0,0.0349
215,2020,1,Georgia,All,All,All,All,All,All,679370.0,883975.0,31401.0,0.0462
216,2020,1,Georgia,All,All,All,All,All,Rural,145493.0,187150.0,6375.0,0.0438
218,2020,1,Georgia,All,All,All,All,All,Urban,533285.0,695979.0,25003.0,0.0469
219,2020,1,Georgia,All,All,All,Disabled,All,All,84050.0,117496.0,6283.0,0.0748
220,2020,1,Georgia,All,All,All,ESRD,All,All,17673.0,18099.0,1073.0,0.0607
221,2020,1,Georgia,All,All,Female,All,All,All,385135.0,484440.0,19138.0,0.0497
222,2020,1,Georgia,All,All,Male,All,All,All,294235.0,399535.0,12263.0,0.0417
223,2020,1,Georgia,All,American Indian/Alaska Native,All,All,All,All,353.0,462.0,27.0,0.0765
224,2020,1,Georgia,All,Asian/Pacific Islander,All,All,All,All,10716.0,16551.0,459.0,0.0428
225,2020,1,Georgia,All,Black/African American,All,All,All,All,127487.0,176951.0,5593.0,0.0439
226,2020,1,Georgia,All,Hispanic,All,All,All,All,12061.0,19009.0,514.0,0.0426
227,2020,1,Georgia,All,Non-Hispanic White,All,All,All,All,515344.0,652399.0,24217.0,0.047
229,2020,1,Georgia,Medicare & Medicaid,All,All,All,All,All,131486.0,166155.0,7638.0,0.0581
230,2020,1,Georgia,Medicare Only,All,All,All,All,All,547884.0,717820.0,23763.0,0.0434
231,2020,1,Hawaii,All,All,All,Aged,All,All,70921.0,98699.0,3515.0,0.0496
232,2020,1,Hawaii,All,All,All,All,0-64,All,6008.0,9008.0,471.0,0.0784
233,2020,1,Hawaii,All,All,All,All,65-74,All,35158.0,52597.0,1820.0,0.0518
234,2020,1,Hawaii,All,All,All,All,75-84,All,23575.0,30548.0,1178.0,0.05
235,2020,1,Hawaii,All,All,All,All,85 and over,All,13339.0,16725.0,616.0,0.0462
236,2020,1,Hawaii,All,All,All,All,All,All,78080.0,108879.0,4085.0,0.0523
237,2020,1,Hawaii,All,All,All,All,All,Rural,24475.0,36010.0,1297.0,0.053
239,2020,1,Hawaii,All,All,All,All,All,Urban,53590.0,72795.0,2787.0,0.052
240,2020,1,Hawaii,All,All,All,Disabled,All,All,4848.0,7788.0,390.0,0.0804
241,2020,1,Hawaii,All,All,All,ESRD,All,All,2311.0,2392.0,180.0,0.0779
242,2020,1,Hawaii,All,All,Female,All,All,All,42654.0,57312.0,2382.0,0.0558
243,2020,1,Hawaii,All,All,Male,All,All,All,35426.0,51567.0,1703.0,0.0481
245,2020,1,Hawaii,All,Asian/Pacific Islander,All,All,All,All,38437.0,51757.0,1747.0,0.0455
246,2020,1,Hawaii,All,Black/African American,All,All,All,All,690.0,1260.0,30.0,0.0435
247,2020,1,Hawaii,All,Hispanic,All,All,All,All,4194.0,6371.0,221.0,0.0527
248,2020,1,Hawaii,All,Non-Hispanic White,All,All,All,All,24101.0,34965.0,1583.0,0.0657
250,2020,1,Hawaii,Medicare & Medicaid,All,All,All,All,All,8918.0,12784.0,498.0,0.0558
251,2020,1,Hawaii,Medicare Only,All,All,All,All,All,69162.0,96095.0,3587.0,0.0519
252,2020,1,Idaho,All,All,All,Aged,All,All,113046.0,168091.0,4263.0,0.0377
253,2020,1,Idaho,All,All,All,All,0-64,All,17664.0,24968.0,1542.0,0.0873
254,2020,1,Idaho,All,All,All,All,65-74,All,60135.0,95068.0,2431.0,0.0404
255,2020,1,Idaho,All,All,All,All,75-84,All,38063.0,52847.0,1393.0,0.0366
256,2020,1,Idaho,All,All,All,All,85 and over,All,15566.0,20928.0,497.0,0.0319
257,2020,1,Idaho,All,All,All,All,All,All,131428.0,193811.0,5863.0,0.0446
258,2020,1,Idaho,All,All,All,All,All,Rural,53097.0,82931.0,2011.0,0.0379
260,2020,1,Idaho,All,All,All,All,All,Urban,78321.0,110845.0,3852.0,0.0492
261,2020,1,Idaho,All,All,All,Disabled,All,All,16988.0,24265.0,1476.0,0.0869
262,2020,1,Idaho,All,All,All,ESRD,All,All,1394.0,1455.0,124.0,0.089
263,2020,1,Idaho,All,All,Female,All,All,All,72015.0,100584.0,3481.0,0.0483
264,2020,1,Idaho,All,All,Male,All,All,All,59413.0,93227.0,2382.0,0.0401
265,2020,1,Idaho,All,American Indian/Alaska Native,All,All,All,All,1267.0,1744.0,51.0,0.0403
266,2020,1,Idaho,All,Asian/Pacific Islander,All,All,All,All,964.0,1508.0,40.0,0.0415
267,2020,1,Idaho,All,Black/African American,All,All,All,All,364.0,561.0,30.0,0.0824
268,2020,1,Idaho,All,Hispanic,All,All,All,All,4595.0,7353.0,194.0,0.0422
269,2020,1,Idaho,All,Non-Hispanic White,All,All,All,All,121299.0,178029.0,5421.0,0.0447
271,2020,1,Idaho,Medicare & Medicaid,All,All,All,All,All,23230.0,31596.0,1669.0,0.0718
272,2020,1,Idaho,Medicare Only,All,All,All,All,All,108198.0,162215.0,4194.0,0.0388
273,2020,1,Illinois,All,All,All,Aged,All,All,874708.0,1204872.0,52858.0,0.0604
274,2020,1,Illinois,All,All,All,All,0-64,All,124585.0,167347.0,12877.0,0.1034
275,2020,1,Illinois,All,All,All,All,65-74,All,427153.0,627624.0,26345.0,0.0617
276,2020,1,Illinois,All,All,All,All,75-84,All,303505.0,395967.0,18813.0,0.062
277,2020,1,Illinois,All,All,All,All,85 and over,All,153665.0,190918.0,8685.0,0.0565
278,2020,1,Illinois,All,All,All,All,All,All,1008908.0,1381856.0,66720.0,0.0661
279,2020,1,Illinois,All,All,All,All,All,Rural,184761.0,258534.0,7458.0,0.0404
281,2020,1,Illinois,All,All,All,All,All,Urban,823879.0,1122734.0,59238.0,0.0719
282,2020,1,Illinois,All,All,All,Disabled,All,All,117311.0,159804.0,12107.0,0.1032
283,2020,1,Illinois,All,All,All,ESRD,All,All,16889.0,17181.0,1755.0,0.1039
284,2020,1,Illinois,All,All,Female,All,All,All,577517.0,768653.0,40621.0,0.0703
285,2020,1,Illinois,All,All,Male,All,All,All,431391.0,613203.0,26099.0,0.0605
286,2020,1,Illinois,All,American Indian/Alaska Native,All,All,All,All,431.0,556.0,47.0,0.109
287,2020,1,Illinois,All,Asian/Pacific Islander,All,All,All,All,25311.0,38380.0,1597.0,0.0631
288,2020,1,Illinois,All,Black/African American,All,All,All,All,101329.0,136617.0,9660.0,0.0953
289,2020,1,Illinois,All,Hispanic,All,All,All,All,51623.0,80884.0,4090.0,0.0792
290,2020,1,Illinois,All,Non-Hispanic White,All,All,All,All,805119.0,1088608.0,49702.0,0.0617
292,2020,1,Illinois,Medicare & Medicaid,All,All,All,All,All,211355.0,263595.0,19877.0,0.094
293,2020,1,Illinois,Medicare Only,All,All,All,All,All,797553.0,1118261.0,46843.0,0.0587
294,2020,1,Indiana,All,All,All,Aged,All,All,461107.0,622027.0,17148.0,0.0372
295,2020,1,Indiana,All,All,All,All,0-64,All,81134.0,107121.0,7913.0,0.0975
296,2020,1,Indiana,All,All,All,All,65-74,All,237603.0,340031.0,9395.0,0.0395
297,2020,1,Indiana,All,All,All,All,75-84,All,153203.0,195325.0,5626.0,0.0367
298,2020,1,Indiana,All,All,All,All,85 and over,All,74601.0,90990.0,2396.0,0.0321
299,2020,1,Indiana,All,All,All,All,All,All,546541.0,733467.0,25330.0,0.0463
300,2020,1,Indiana,All,All,All,All,All,Rural,156607.0,211728.0,6458.0,0.0412
302,2020,1,Indiana,All,All,All,All,All,Urban,389717.0,521362.0,18859.0,0.0484
303,2020,1,Indiana,All,All,All,Disabled,All,All,77122.0,102944.0,7624.0,0.0989
304,2020,1,Indiana,All,All,All,ESRD,All,All,8312.0,8495.0,558.0,0.0671
305,2020,1,Indiana,All,All,Female,All,All,All,314177.0,407931.0,15341.0,0.0488
306,2020,1,Indiana,All,All,Male,All,All,All,232364.0,325536.0,9989.0,0.043
307,2020,1,Indiana,All,American Indian/Alaska Native,All,All,All,All,278.0,368.0,19.0,0.0683
308,2020,1,Indiana,All,Asian/Pacific Islander,All,All,All,All,3278.0,5285.0,144.0,0.0439
309,2020,1,Indiana,All,Black/African American,All,All,All,All,31655.0,42657.0,2153.0,0.068
310,2020,1,Indiana,All,Hispanic,All,All,All,All,8665.0,12866.0,512.0,0.0591
311,2020,1,Indiana,All,Non-Hispanic White,All,All,All,All,490472.0,654668.0,21961.0,0.0448
313,2020,1,Indiana,Medicare & Medicaid,All,All,All,All,All,118183.0,143596.0,9640.0,0.0816
314,2020,1,Indiana,Medicare Only,All,All,All,All,All,428358.0,589871.0,15690.0,0.0366
315,2020,1,Iowa,All,All,All,Aged,All,All,273183.0,385797.0,9501.0,0.0348
316,2020,1,Iowa,All,All,All,All,0-64,All,32516.0,44469.0,3735.0,0.1149
317,2020,1,Iowa,All,All,All,All,65-74,All,135710.0,204083.0,4915.0,0.0362
318,2020,1,Iowa,All,All,All,All,75-84,All,89775.0,120773.0,2858.0,0.0318
319,2020,1,Iowa,All,All,All,All,85 and over,All,49276.0,62545.0,1824.0,0.037
